,speed,power,crop
2018-05-18 09:51:31,4.176,0.0,0.0
2018-05-18 09:51:32,4.05,0.0,0.0
2018-05-18 09:51:33,3.989,0.0,0.0
2018-05-18 09:51:34,4.004,0.0,0.0
2018-05-18 09:51:35,4.05,50.0,0.0
2018-05-18 09:51:36,4.176,50.0,0.0
2018-05-18 09:51:37,4.112,46.0,0.0
2018-05-18 09:51:38,4.16,46.0,0.0
2018-05-18 09:51:39,4.184,44.0,0.0
2018-05-18 09:51:40,4.112,46.0,0.0
2018-05-18 09:51:41,4.088,46.0,0.0
2018-05-18 09:51:42,4.208,45.0,0.0
2018-05-18 09:51:43,4.208,39.0,0.0
2018-05-18 09:51:44,4.31,37.0,0.0
2018-05-18 09:51:45,4.354,41.0,0.0
2018-05-18 09:51:46,4.259,45.0,0.0
2018-05-18 09:51:47,4.462,40.0,0.0
2018-05-18 09:51:48,4.471,35.0,0.0
2018-05-18 09:51:49,4.416,38.0,0.0
2018-05-18 09:51:50,4.38,38.0,0.0
2018-05-18 09:51:51,4.398,35.0,0.0
2018-05-18 09:51:52,4.345,34.0,0.0
2018-05-18 09:51:53,4.284,36.0,0.0
2018-05-18 09:51:54,4.267,39.0,0.0
2018-05-18 09:51:55,4.217,39.0,0.0
2018-05-18 09:51:56,4.16,43.0,0.0
2018-05-18 09:51:57,4.143,49.0,0.0
2018-05-18 09:51:58,4.135,49.0,0.0
2018-05-18 09:51:59,4.233,52.0,0.0
2018-05-18 09:52:00,4.225,52.0,0.0
2018-05-18 09:52:01,4.259,52.0,0.0
2018-05-18 09:52:02,4.233,44.0,0.0
2018-05-18 09:52:03,4.242,35.0,0.0
2018-05-18 09:52:04,4.25,31.0,0.0
2018-05-18 09:52:05,4.217,32.0,0.0
2018-05-18 09:52:06,4.233,32.0,0.0
2018-05-18 09:52:07,4.192,30.0,0.0
2018-05-18 09:52:08,4.2,29.0,0.0
2018-05-18 09:52:09,4.16,28.0,0.0
2018-05-18 09:52:10,4.135,30.0,0.0
2018-05-18 09:52:11,4.143,26.0,0.0
2018-05-18 09:52:12,4.128,29.0,0.0
2018-05-18 09:52:13,4.088,33.0,0.0
2018-05-18 09:52:14,4.135,33.0,0.0
2018-05-18 09:52:15,4.184,37.0,0.0
2018-05-18 09:52:16,4.2,37.0,0.0
2018-05-18 09:52:17,4.217,37.0,0.0
2018-05-18 09:52:18,4.2,43.0,0.0
2018-05-18 09:52:19,4.208,38.0,0.0
2018-05-18 09:52:20,4.233,34.0,0.0
2018-05-18 09:52:21,4.16,34.0,0.0
2018-05-18 09:52:22,4.12,0.0,0.0
2018-05-18 09:52:23,3.701,0.0,0.0
2018-05-18 09:52:24,3.542,0.0,0.0
2018-05-18 09:52:25,2.956,0.0,0.0
2018-05-18 09:52:26,2.499,0.0,0.0
2018-05-18 09:52:27,2.224,0.0,0.0
2018-05-18 09:52:28,2.008,0.0,0.0
2018-05-18 09:52:29,1.819,0.0,0.0
2018-05-18 09:52:30,2.062,0.0,0.0
2018-05-18 09:52:31,2.262,0.0,0.0
2018-05-18 09:52:32,2.262,0.0,0.0
2018-05-18 09:52:33,0.0,0.0,0.0
